,id,member_id,CLI,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,Owner_ 36 months,Owner_ 60 months,Account_A,Account_B,Account_C,Account_D,Account_E,Account_F,Stg_A1,Stg_A2,Stg_A3,Stg_A4,Stg_A5,Stg_B1,Stg_B2,Stg_B3,Stg_B4,Stg_B5,Stg_C1,Stg_C2,Stg_C3,Stg_C4,Stg_C5,Stg_D1,Stg_D2,Stg_D3,Stg_D4,Stg_D5,Stg_E1,Stg_E3,Stg_E4,Stg_F2,Stg_F3,Stg_F4,SvcLn_1 year,SvcLn_10+ years,SvcLn_2 years,SvcLn_3 years,SvcLn_4 years,SvcLn_5 years,SvcLn_6 years,SvcLn_7 years,SvcLn_8 years,SvcLn_9 years,SvcLn_< 1 year,StgNum_MORTGAGE,StgNum_OWN,StgNum_RENT,Acctype_Not Verified,Acctype_Source Verified,Acctype_Verified,Billngtype_Charged Off,Billngtype_Current,Billngtype_Fully Paid,UnSolProp_1-Dec,UnSolProp_1-Jan,UnSolProp_1-Jun,UnSolProp_1-Nov,UnSolProp_2-Feb,UnSolProp_2-Jan,UnSolProp_2-Jul,UnSolProp_2-Jun,UnSolProp_2-May,UnSolProp_2-Oct,UnSolProp_2-Sep,UnSolProp_3-Apr,UnSolProp_3-Jan,UnSolProp_3-Jul,UnSolProp_3-Jun,UnSolProp_3-May,UnSolProp_3-Nov,UnSolProp_3-Oct,UnSolProp_4-Apr,UnSolProp_4-Dec,UnSolProp_4-Jun,UnSolProp_4-Nov,UnSolProp_4-Sep,UnSolProp_5-Apr,UnSolProp_5-Jul,UnSolProp_5-Oct,UnSolProp_5-Sep,UnSolProp_6-Jul,UnSolProp_6-May,UnSolProp_6-Nov,UnSolProp_6-Oct,UnSolProp_7-Apr,UnSolProp_7-Jan,UnSolProp_7-Jun,UnSolProp_7-Oct,UnSolProp_7-Sep,UnSolProp_Apr-00,UnSolProp_Apr-92,UnSolProp_Apr-95,UnSolProp_Apr-99,UnSolProp_Aug-84,UnSolProp_Aug-93,UnSolProp_Dec-00,UnSolProp_Dec-84,UnSolProp_Dec-87,UnSolProp_Dec-94,UnSolProp_Dec-96,UnSolProp_Dec-98,UnSolProp_Dec-99,UnSolProp_Feb-83,UnSolProp_Feb-84,UnSolProp_Feb-96,UnSolProp_Feb-97,UnSolProp_Jan-00,UnSolProp_Jan-85,UnSolProp_Jan-86,UnSolProp_Jan-96,UnSolProp_Jan-98,UnSolProp_Jul-85,UnSolProp_Jul-99,UnSolProp_Jun-89,UnSolProp_Jun-95,UnSolProp_Mar-94,UnSolProp_May-00,UnSolProp_May-91,UnSolProp_May-97,UnSolProp_Nov-81,UnSolProp_Nov-95,UnSolProp_Nov-97,UnSolProp_Oct-00,UnSolProp_Oct-89,UnSolProp_Oct-96,UnSolProp_Oct-98,UnSolProp_Sep-92,UnSolProp_Sep-98,DelType_12-Aug,DelType_12-Dec,DelType_12-Jul,DelType_12-Jun,DelType_12-Nov,DelType_12-Oct,DelType_12-Sep,DelType_13-Aug,DelType_13-Feb,DelType_13-Mar,DelType_13-May,DelType_13-Nov,DelType_13-Oct,DelType_13-Sep,DelType_14-Apr,DelType_14-Dec,DelType_14-Feb,DelType_14-Jul,DelType_14-Mar,DelType_14-May,DelType_14-Oct,DelType_14-Sep,DelType_15-Apr,DelType_15-Dec,DelType_15-Jan,DelType_15-Jul,DelType_15-Jun,DelType_15-Mar,DelType_15-Nov,DelType_15-Oct,DelType_15-Sep,DelType_16-Jan,binary
82,1068989,1282013,11800,12.69,395.83,42000.0,9.86,0,0,4,0,8940,74.8,13,0.0,0.0,14243.15837,14243.16,11800.0,2443.16,0.0,0.0,0.0,419.36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1069697,1273773,15000,9.91,483.38,92000.0,29.44,0,0,8,0,13707,93.9,31,0.0,0.0,15823.48,15823.48,15000.0,823.48,0.0,0.0,0.0,2447.05,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,1060578,1292332,4400,16.77,156.37,55000.0,20.01,0,0,7,0,25237,99.0,11,0.0,0.0,5626.892655,5626.89,4400.0,1226.89,0.0,0.0,0.0,162.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,1069530,1291365,7000,15.96,245.97,34000.0,6.35,0,1,6,0,6113,60.5,6,0.0,0.0,8848.94043,8848.94,7000.0,1848.94,0.0,0.0,0.0,260.74,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1068475,1302869,10000,14.27,343.09,68000.0,15.39,0,1,9,0,11303,81.3,15,0.0,0.0,10671.62,10671.62,10000.0,671.62,0.0,0.0,0.0,8962.31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,1067874,1302235,6000,12.69,135.57,81000.0,13.66,1,0,6,0,15102,50.0,17,1527.6,1527.6,6495.11,6495.11,4472.4,2022.71,0.0,0.0,0.0,135.57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,1067573,1301955,9600,7.51,298.67,68004.0,6.63,0,0,6,0,2896,18.1,11,0.0,0.0,10749.76265,10749.76,9600.0,1149.76,0.0,0.0,0.0,311.56,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1077501,1296599,5000,10.65,162.87,24000.0,27.65,0,1,3,0,13648,83.7,9,0.0,0.0,5861.071414,5831.78,5000.0,861.07,0.0,0.0,0.0,171.62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,1069800,1304679,15000,14.27,514.64,60000.0,15.22,0,1,7,0,5872,57.6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,1077175,1313524,2400,15.96,84.33,12252.0,8.72,0,2,2,0,2956,98.5,10,0.0,0.0,3003.653644,3003.65,2400.0,603.65,0.0,0.0,0.0,649.91,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1077430,1314167,2500,15.27,59.83,30000.0,1.0,0,5,3,0,1687,9.4,4,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,119.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1062474,1294539,6000,11.71,198.46,84000.0,18.44,2,0,4,0,0,37.73,14,0.0,0.0,7164.499852,7164.5,6000.0,1149.5,15.0,0.0,0.0,16.98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,1068416,1302799,7200,21.67,197.51,75000.0,24.82,0,2,9,1,21706,91.2,19,0.0,0.0,8201.53,8173.07,7200.0,1001.53,0.0,0.0,0.0,6824.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,1069039,1303482,11000,13.49,373.24,48000.0,21.82,0,3,15,0,11382,65.0,29,0.0,0.0,13413.21605,13413.22,11000.0,2413.22,0.0,0.0,0.0,1491.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71,1060981,1292558,6400,16.77,227.45,75000.0,20.22,0,0,9,0,7159,67.5,27,0.0,0.0,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,227.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,1068994,1303432,22075,17.27,551.84,150000.0,7.51,0,1,11,0,7334,53.3,31,0.0,0.0,28871.92,28839.26,22075.0,6796.92,0.0,0.0,0.0,15660.22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1075358,1311748,3000,12.69,67.79,80000.0,17.94,0,0,15,0,27783,53.9,38,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,67.79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,1069539,1304608,31825,7.9,995.82,75000.0,14.03,0,0,12,0,23151,27.4,26,0.0,0.0,34886.08,34886.08,31825.0,3061.08,0.0,0.0,0.0,16966.7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,1069142,1287810,13000,12.69,293.74,30000.0,13.72,0,0,17,0,17080,58.9,27,0.0,0.0,17402.23999,17402.24,13000.0,4402.24,0.0,0.0,0.0,3596.46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
